epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,13.5791,1.21301,1,1,0.72222,0.00019998,0.00019998,0.00019998
2,22.9727,0.36126,1,1,0.10099,0.000390722,0.000390722,0.000390722
3,31.199,0.05303,1,1,0.00606,0.000560566,0.000560566,0.000560566
4,39.2761,0.00923,1,1,0.00145,0.000709512,0.000709512,0.000709512
5,47.0835,0.00151,1,1,0.00042,0.000837561,0.000837561,0.000837561
6,55.288,0.00064,1,1,0.0003,0.000836027,0.000836027,0.000836027
7,65.1522,0.00034,1,1,0.00013,0.000781033,0.000781033,0.000781033
8,74.5339,0.00014,1,1,0.00011,0.000726038,0.000726038,0.000726038
9,86.304,0.00011,1,1,5e-05,0.000671044,0.000671044,0.000671044
10,94.9662,7e-05,1,1,6e-05,0.000616049,0.000616049,0.000616049
11,104.824,4e-05,1,1,8e-05,0.000561055,0.000561055,0.000561055
12,113.546,5e-05,1,1,8e-05,0.00050606,0.00050606,0.00050606
13,121.212,0.0001,1,1,7e-05,0.000451066,0.000451066,0.000451066
14,129.092,0.00054,1,1,6e-05,0.000396071,0.000396071,0.000396071
15,136.956,4e-05,1,1,9e-05,0.000341077,0.000341077,0.000341077
16,145.195,4e-05,1,1,9e-05,0.000286083,0.000286083,0.000286083
17,152.978,8e-05,1,1,5e-05,0.000231088,0.000231088,0.000231088
18,160.786,5e-05,1,1,7e-05,0.000176094,0.000176094,0.000176094
19,170.354,4e-05,1,1,5e-05,0.000121099,0.000121099,0.000121099
20,181.047,3e-05,1,1,8e-05,6.61045e-05,6.61045e-05,6.61045e-05
