epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,36.6137,1.26634,0.66667,1,1.12491,8.75e-05,8.75e-05,8.75e-05
2,40.122,0.77759,1,1,0.36143,0.000178219,0.000178219,0.000178219
3,41.2788,0.2968,1,1,0.13491,0.000259038,0.000259038,0.000259038
4,42.6302,0.11349,1,1,0.02658,0.000329956,0.000329956,0.000329956
5,44.1364,0.04062,1,1,0.00521,0.000390975,0.000390975,0.000390975
6,46.5027,0.01661,1,1,0.00193,0.000442094,0.000442094,0.000442094
7,48.4221,0.00611,1,1,0.00128,0.000483313,0.000483313,0.000483313
8,49.9494,0.00328,1,1,0.00111,0.000514631,0.000514631,0.000514631
9,51.6497,0.00216,1,1,0.00105,0.00053605,0.00053605,0.00053605
10,52.9141,0.00186,1,1,0.00088,0.000547569,0.000547569,0.000547569
